zcta5,puma12,pop10,afact
6390,3305,236,1
10001,3807,21102,1
10002,3809,81410,1
10003,3807,2966,0.053
10003,3808,13308,0.238
10003,3809,26184,0.467
10003,3810,13566,0.242
10004,3810,3089,1
10005,3810,7135,1
10006,3810,3011,1
10007,3809,854,0.122
10007,3810,6134,0.878
10009,3808,16538,0.27
10009,3809,44809,0.73
10010,3807,6088,0.191
10010,3808,25746,0.809
10011,3807,39275,0.77
10011,3810,11709,0.23
10012,3810,24090,1
10013,3809,5209,0.188
10013,3810,22491,0.812
10014,3807,315,0.01
10014,3810,31644,0.99
10016,3807,5151,0.095
10016,3808,49032,0.905
10017,3807,71,0.004
10017,3808,16504,0.996
10018,3807,5229,1
10019,3806,3891,0.091
10019,3807,38979,0.909
10021,3805,43631,1
10022,3805,1375,0.043
10022,3807,671,0.021
10022,3808,29878,0.936
10023,3806,60998,1
10024,3802,28,0
10024,3806,59255,1
10025,3802,30076,0.318
10025,3806,64524,0.682
10026,3802,632,0.019
10026,3803,33371,0.981
10027,3802,36021,0.603
10027,3803,23686,0.397
10028,3805,45141,1
10029,3804,76003,1
10030,3802,2152,0.08
10030,3803,24847,0.92
10031,3802,56438,1
10032,3801,55279,0.964
10032,3802,2052,0.036
10033,3801,53926,1
10034,3801,38908,1
10035,3803,1989,0.059
10035,3804,31980,0.941
10036,3807,24711,1
10037,3803,10247,0.588
10037,3804,7169,0.412
10038,3809,6471,0.319
10038,3810,13829,0.681
10039,3801,2,0
10039,3803,24525,1
10040,3801,41905,1
10044,3805,11661,1
10065,3805,32270,1
10069,3806,5199,1
10075,3805,26121,1
10103,3807,3,1
10119,3807,92,1
10128,3804,2417,0.04
10128,3805,58036,0.96
10162,3805,1685,1
10165,3808,2,1
10170,3808,2,1
10173,3807,2,1
10199,3807,9,1
10280,3810,7853,1
10282,3810,4783,1
10301,3902,1365,0.034
10301,3903,38341,0.966
10302,3903,19088,1
10303,3903,26337,1
10304,3902,14054,0.333
10304,3903,28139,0.667
10305,3902,28845,0.691
10305,3903,12904,0.309
10306,3901,26674,0.477
10306,3902,29235,0.523
10307,3901,14096,1
10308,3901,27357,1
10309,3901,32519,1
10310,3903,24962,1
10312,3901,59304,1
10314,3901,8,0
10314,3902,59517,0.696
10314,3903,25985,0.304
10451,3705,2684,0.059
10451,3708,21002,0.459
10451,3710,22027,0.482
10452,3707,3642,0.048
10452,3708,71729,0.952
10453,3706,1235,0.016
10453,3707,77074,0.984
10454,3710,37337,1
10455,3710,39665,1
10456,3705,42529,0.491
10456,3708,40143,0.464
10456,3710,3875,0.045
10457,3705,30035,0.426
10457,3707,34042,0.483
10457,3708,6419,0.091
10458,3705,24207,0.305
10458,3706,47412,0.596
10458,3707,7873,0.099
10459,3705,17466,0.369
10459,3710,29842,0.631
10460,3704,4377,0.076
10460,3705,42991,0.75
10460,3709,9943,0.173
10461,3703,24412,0.483
10461,3704,21238,0.421
10461,3709,4852,0.096
10462,3704,33700,0.445
10462,3705,561,0.007
10462,3709,41523,0.548
10463,3701,56926,0.838
10463,3706,2581,0.038
10463,3801,8463,0.125
10464,3702,133,0.029
10464,3703,4401,0.971
10465,3703,42021,0.995
10465,3709,209,0.005
10466,3702,67813,1
10467,3702,24805,0.256
10467,3704,32282,0.333
10467,3706,39973,0.412
10468,3701,28273,0.372
10468,3706,36204,0.476
10468,3707,11626,0.153
10469,3702,29581,0.444
10469,3703,3984,0.06
10469,3704,32167,0.483
10469,3705,899,0.013
10470,3702,15293,1
10471,3701,22922,1
10472,3709,66358,1
10473,3709,58519,1
10474,3710,12281,1
10475,3702,735,0.018
10475,3703,40196,0.982
10501,3103,1219,1
10502,3105,5487,1
10503,3105,108,1
10504,3103,7987,1
10505,3103,851,1
10506,3103,5790,1
10507,3103,6408,1
10509,3101,19434,0.996
10509,3103,73,0.004
10510,3102,9872,0.988
10510,3103,116,0.012
10511,3102,2246,1
10512,3101,25590,1
10514,3102,1202,0.101
10514,3103,10744,0.899
10516,3101,5289,1
10517,3102,539,1
10518,3103,1268,1
10519,3101,3,0.009
10519,3103,313,0.991
10520,3102,12678,0.99
10520,3103,132,0.01
10522,3105,10875,1
10523,3105,7444,1
10524,3101,4421,1
10526,3103,1809,1
10527,3103,908,1
10528,3104,12280,1
10530,3105,12604,1
10532,3102,4931,1
10533,3105,7322,1
10535,3103,555,1
10536,3103,10739,1
10537,3101,2264,0.937
10537,3102,152,0.063
10538,3104,16279,0.981
10538,3107,318,0.019
10541,3101,25135,0.954
10541,3103,1204,0.046
10543,3104,20135,1
10545,3102,141,1
10546,3103,1277,1
10547,3102,1434,0.188
10547,3103,6213,0.812
10548,3102,3487,1
10549,3103,16638,1
10550,3107,37144,1
10552,3107,19786,1
10553,3107,10170,1
10560,3103,4737,1
10562,3102,29643,0.932
10562,3103,2153,0.068
10566,3102,23570,1
10567,3102,19332,0.97
10567,3103,597,0.03
10570,3102,12680,1
10573,3104,38352,1
10576,3103,5116,1
10577,3104,6552,1
10578,3103,681,1
10579,3101,8675,1
10580,3104,17208,1
10583,3104,323,0.008
10583,3105,25194,0.646
10583,3106,2011,0.052
10583,3107,11454,0.294
10588,3101,82,0.036
10588,3103,2200,0.964
